Timestamp, Algorithm,Number of Elements,Time Taken (s)
15-11-2024-14-34-42,QuickSort,1000,0.001270
15-11-2024-14-34-42,Parallel QuickSort,1000,0.002351
15-11-2024-14-34-42,MergeSort,1000,0.010819
15-11-2024-14-34-42,Parallel MergeSort,1000,0.005395
15-11-2024-14-34-48,QuickSort,3000,0.003894
15-11-2024-14-34-48,Parallel QuickSort,3000,0.003864
15-11-2024-14-34-48,MergeSort,3000,0.025724
15-11-2024-14-34-48,Parallel MergeSort,3000,0.011465
15-11-2024-14-34-54,QuickSort,5000,0.007852
15-11-2024-14-34-54,Parallel QuickSort,5000,0.005500
15-11-2024-14-34-54,MergeSort,5000,0.034153
15-11-2024-14-34-54,Parallel MergeSort,5000,0.014902
15-11-2024-14-35-01,QuickSort,10000,0.019091
15-11-2024-14-35-01,Parallel QuickSort,10000,0.009928
15-11-2024-14-35-02,MergeSort,10000,0.051894
15-11-2024-14-35-02,Parallel MergeSort,10000,0.029232
15-11-2024-14-35-08,QuickSort,20000,0.048659
15-11-2024-14-35-08,Parallel QuickSort,20000,0.036914
15-11-2024-14-35-08,MergeSort,20000,0.102885
15-11-2024-14-35-08,Parallel MergeSort,20000,0.059285
15-11-2024-14-35-16,QuickSort,100000,1.020368
15-11-2024-14-35-17,Parallel QuickSort,100000,0.794119
15-11-2024-14-35-18,MergeSort,100000,0.596113
15-11-2024-14-35-18,Parallel MergeSort,100000,0.342491
